
Grid Search Results:

Results for lag_0:
Grid Search Results with Lag:

Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 3, Correlation: 0.0812
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 3, Correlation: -0.0261
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 3, Correlation: 0.0133
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 3, Correlation: 0.0818
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 3, Correlation: 0.0820
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 3, Correlation: 0.0821
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 1, Correlation: -0.0475
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 1, Correlation: -0.0143
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 1, Correlation: 0.0269
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 1, Correlation: -0.0690
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 1, Correlation: -0.0700
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 1, Correlation: 0.0501
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 1, Correlation: 0.0632
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 1, Correlation: 0.0706
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 2, Correlation: -0.0674
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 2, Correlation: -0.0475
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 2, Correlation: -0.0143
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 2, Correlation: -0.0638
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 2, Correlation: -0.0690
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 2, Correlation: 0.0093
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 2, Correlation: 0.0269
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 2, Correlation: 0.0402
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 3, Correlation: -0.0708
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 3, Correlation: -0.0613
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 3, Correlation: -0.0350
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 3, Correlation: -0.0615
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 3, Correlation: -0.0659
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 3, Correlation: -0.0143
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 3, Correlation: 0.0022
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 3, Correlation: 0.0158
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 1, Correlation: -0.0665
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 1, Correlation: -0.0708
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 1, Correlation: -0.0650
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 1, Correlation: -0.0591
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 1, Correlation: -0.0609
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 1, Correlation: -0.0534
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 1, Correlation: -0.0420
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 1, Correlation: -0.0317
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 2, Correlation: -0.0619
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 2, Correlation: -0.0665
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 2, Correlation: -0.0708
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 2, Correlation: -0.0584
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 2, Correlation: -0.0591
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 2, Correlation: -0.0694
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 2, Correlation: -0.0650
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 2, Correlation: -0.0593
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 3, Correlation: -0.0635
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 3, Correlation: -0.0687
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 3, Correlation: -0.0581
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 3, Correlation: -0.0586
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 3, Correlation: -0.0708
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 3, Correlation: -0.0703
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 3, Correlation: -0.0681
Decay Model: Harmonic, Parameter: 0.05, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.1, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.2, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.01, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.02, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.3, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.4, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.5, Period Type: hour, Period Amount: 1, Correlation: 0.0774
Decay Model: Harmonic, Parameter: 0.05, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.1, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.2, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.01, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.02, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.3, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.4, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.5, Period Type: hour, Period Amount: 2, Correlation: 0.0726
Decay Model: Harmonic, Parameter: 0.05, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.1, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.2, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.01, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.02, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.3, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.4, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.5, Period Type: hour, Period Amount: 3, Correlation: 0.0679
Decay Model: Harmonic, Parameter: 0.05, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.1, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.2, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.01, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.02, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.3, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.4, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.5, Period Type: day, Period Amount: 1, Correlation: 0.0088
Decay Model: Harmonic, Parameter: 0.05, Period Type: day, Period Amount: 2, Correlation: -0.0170
Decay Model: Harmonic, Parameter: 0.1, Period Type: day, Period Amount: 2, Correlation: -0.0170
Decay Model: Harmonic, Parameter: 0.2, Period Type: day, Period Amount: 2, Correlation: -0.0170
Decay Model: Harmonic, Parameter: 0.01, Period Type: day, Period Amount: 2, Correlation: -0.0170
Decay Model: Harmonic, Parameter: 0.02, Period Type: day, Period Amount: 2, Correlation: -0.0170
Decay Model: Harmonic, Parameter: 0.3, Period Type: day, Period Amount: 2, Correlation: -0.0170
Decay Model: Harmonic, Parameter: 0.4, Period Type: day, Period Amount: 2, Correlation: -0.0170
